preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
FAM85A,,,SLC16A1-AS1,RASAL3,,,SEC11A
FAM86B1,,,SLC16A14,RASGEF1C,,,SEC11C
FAM87A,,,SLC16A7,RASGRF1,,,SEC13
FAM90A1,,,SLC17A9,RASL10A,,,SEC14L2
FAM90A25P,,,SLC18B1,RASL11A,,,SEC14L4
FAM90A26,,,SLC19A1,RASSF3,,,SEC1P
FAM90A27P,,,SLC1A1,RASSF5,,,SEC23A
FANCI,,,SLC1A5,RAVER1,,,SEC23IP
FAXDC2,,,SLC20A1,RAVER2,,,SEC24D
FBXL14,,,SLC20A2,RAX,,,SEC31A
FBXO24,,,SLC22A1,RAX2,,,SEL1L3
FBXO3,,,SLC22A17,RBAKDN,,,SELENBP1
FBXW2,,,SLC22A18,RBBP5,,,SELENOH
FBXW7-AS1,,,SLC22A3,RBBP7,,,SELENON
FCF1,,,SLC22A4,RBFADN,,,SELENOO
FCGR2A,,,SLC25A1,RBL2,,,SELENOV
FCGR2C,,,SLC25A11,RBM11,,,SELENOW
FCN1,,,SLC25A13,RBM12,,,SEM1
FEM1C,,,SLC25A15,RBM12B,,,SEMA3A
FER,,,SLC25A17,RBM15,,,SEMA3F
FEZF1,,,SLC25A21,RBM17,,,SEMA3G
FEZF1-AS1,,,SLC25A21-AS1,RBM18,,,SEMA4A
FGD4,,,SLC25A24,RBM20,,,SEMA4D
FGD5P1,,,SLC25A27,RBM23,,,SEMA5B
FGF5,,,SLC25A3,RBM26,,,SEMA6A-AS2
FGFR1OP,,,SLC25A34,RBM33,,,SEMA6B
FLJ13224,,,SLC25A37,RBM38,,,SEMA6C
FLJ30679,,,SLC25A38,RBM44,,,SEMA7A
FLJ30901,,,SLC25A4,RBM46,,,SEMG1
FLRT2,,,SLC25A40,RBMX2,,,SENP3-EIF4A1
FMN1,,,SLC25A45,RBMY1A1,,,SEPHS1
FMO3,,,SLC25A51,RBMY1A1.1,,,SEPSECS
FMR1,,,SLC25A53,RBMY1A1.2,,,SEPSECS-AS1
FNIP1,,,SLC26A2,RBMY1A1.3,,,SERBP1
FNTB,,,SLC27A2,RBMY1D,,,SERP1
FOXA1,,,SLC27A3,RBMY1D.1,,,SERPINA11
FOXB1,,,SLC27A5,RBMY1D.2,,,SERPINA5
FOXI2,,,SLC29A1,RBMY1D.3,,,SERPINB1
FOXO1,,,SLC29A2,RBMY1E,,,SERPINB3
FRG2,,,SLC2A1,RBMY1E.1,,,SERPINB4
FRG2B,,,SLC2A1-AS1,RBMY1E.2,,,SERPINB6
FRG2C,,,SLC2A4,RC3H1,,,SERPINB9P1
FRG2EP,,,SLC2A6,RCOR1,,,SERPINE1
FSBP,,,SLC2A8,RCOR3,,,SERPING1
FSD1L,,,SLC30A5,RD3,,,SERPINH1
FSIP1,,,SLC30A9,RDH10,,,SERTAD4-AS1
FTCDNL1,,,SLC35A4,RDH12,,,SERTM2
FUT8,,,SLC35B1,RDM1,,,SETD5
FUT8-AS1,,,SLC35B2,RDM1P5,,,SETD6
FZD10-AS1,,,SLC35B3,RDX,,,SETD9
FZD8,,,SLC35B4,RECQL5,,,SETMAR
GABRP,,,SLC35C2,REEP2,,,SEZ6
GALNT12,,,SLC35E2A,REEP4,,,SEZ6L
GALNT13,,,SLC35E2B,REG4,,,SEZ6L2
GALP,,,SLC35E3,REL,,,SF3A1
GAPT,,,SLC35F1,RELA,,,SF3A2
GAPVD1,,,SLC35G4,RELL2,,,SF3A3
GAS5-AS1,,,SLC36A4,RELN,,,SF3B2
GBP1,,,SLC37A1,RELT,,,SF3B3
GBP3,,,SLC38A1,REP15,,,SFN
GBP6,,,SLC38A2,REPIN1,,,SFPQ
GCG,,,SLC38A4,RERE,,,SFRP1
GCLC,,,SLC38A5,REREP3,,,SFRP2
GCOM1,,,SLC38A6,RERG,,,SFRP5
GDF5OS,,,SLC39A1,RERG-AS1,,,SFT2D1
GDI1,,,SLC39A13,RESP18,,,SFT2D3
GDI2,,,SLC39A7,RETN,,,SFTA1P
GFRAL,,,SLC39A8,REV1,,,SFXN1
GGT6,,,SLC43A1,REXO1,,,SFXN2
GH1,,,SLC44A4,REXO2,,,SFXN3
GIMAP1,,,SLC46A1,RFESD,,,SFXN4
GIMAP7,,,SLC48A1,RFFL,,,SFXN5
GIMAP8,,,SLC4A4,RFNG,,,SGCB
GINS1,,,SLC50A1,RFPL1,,,SGCE
GJA9,,,SLC6A15,RFPL3,,,SGSM1
GLE1,,,SLC7A1,RFPL4A,,,SGSM2
GLG1,,,SLC7A10,RFPL4AL1,,,SGTA
GLIS3,,,SLC7A3,RFPL4B,,,SGTB
GLIS3-AS1,,,SLC7A5,RFT1,,,SH2B3
GLRA2,,,SLC8A3,RFWD3,,,SH2D2A
GLUD2,,,SLC9B2,RFX8,,,SH2D3A
GLYATL1B,,,SLCO5A1,RGL4,,,SH2D3C
GMEB1,,,SLFN12,RGMA,,,SH3BGRL
GMFB,,,SLFN5,RGMB-AS1,,,SH3BP1
GNA13,,,SLIRP,RGP1,,,SH3BP2
GNAO1,,,SLIT2,RGPD2,,,SH3D19
GNB3,,,SLITRK3,RGPD2.1,,,SH3GL1
GNG13,,,SLITRK4,RGPD5,,,SH3GL1P2
GNG7,,,SLITRK5,RGPD5.1,,,SH3PXD2B
GOLGA6L5P,,,SLMO2-ATP5E,RGPD5.2,,,SH3RF1
GOLGA8K,,,SLTM,RGS11,,,SH3RF3-AS1
GOLGA8Q,,,SLX1A-SULT1A3,RGS18,,,SH3TC2
GOLM1,,,SLX1B,RGS2,,,SH3YL1
GON4L,,,SMA5,RGS22,,,SHANK2
GORAB,,,SMAD4,RGS6,,,SHARPIN
GPATCH8,,,SMAP2,RGSL1,,,SHBG
GPC5-AS1,,,SMARCA1,RHBDD1,,,SHC3
GPC6-AS1,,,SMARCA5-AS1,RHBDF2,,,SHF
GPD2,,,SMARCC1,RHCE,,,SHISA2
GPR107,,,SMARCD1,RHEB,,,SHISA4
GRID2IP,,,SMARCD2,RHO,,,SHISA6
GRIPAP1,,,SMARCE1,RHOBTB2,,,SHISA7
GSK3A,,,SMCO4,RHOBTB3,,,SHISA9
GSPT1,,,SMCR5,RHOJ,,,SHISAL2A
GSTCD,,,SMDT1,RHOXF1-AS1,,,SHISAL2B
GTDC1,,,SMG1P2,RHOXF1P1,,,SHKBP1
GTF3C2-AS1,,,SMG1P5,RHPN2,,,SHMT2
GTSF1,,,SMIM1,RIC8B,,,SHPRH
GUSBP10,,,SMIM10,RICTOR,,,SHROOM1
GVQW3,,,SMIM10L1,RIF1,,,SHROOM3
GZMK,,,SMIM10L2B-AS1,RIMBP2,,,SHROOM4
H1F0,,,SMIM11B,RIMKLA,,,SIGIRR
H6PD,,,SMIM12,RIMS2,,,SIGMAR1
HCG11,,,SMIM19,RIMS4,,,SIM1
HDAC2-AS2,,,SMIM2,RIOK1,,,SINHCAF
HDHD3,,,SMIM20,RIOK2,,,SIPA1
HDLBP,,,SMIM24,RIOK3,,,SIPA1L3
HEATR1,,,SMIM26,RIPK2,,,SIRPB2
HECTD3,,,SMIM28,RIPOR2,,,SIRT3
HECTD4,,,SMIM3,RIPOR3,,,SIRT4
HELQ,,,SMIM30,RLF,,,SIRT5
HERC2P4,,,SMIM4,RMC1,,,SIRT6
HERC3,,,SMIM5,RMI1,,,SIT1
HERC5,,,SMIM7,RMND5A,,,SIX4
HERC6,,,SMO,RMND5B,,,SIX5
HES1,,,SMPD2,RNA5S9,,,SIX6
HES2,,,SMPD4,RNASE3,,,SKAP1
HESX1,,,SMPDL3B,RNASE4,,,SKIL
HGSNAT,,,SMS,RND1,,,SKIV2L
HHLA2,,,SMTN,RNF10,,,SLC11A1
HIF1A,,,SMTNL1,RNF103-CHMP3,,,SLC12A1
HIF1A-AS2,,,SMTNL2,RNF111,,,SLC12A4
HIST1H1T,,,SMYD5,RNF114,,,SLC12A5-AS1
HIST1H2AA,,,SNAI2,RNF122,,,SLC12A9
HIST1H2AH,,,SNAI3-AS1,RNF126,,,SLC12A9-AS1
HIST1H2APS1,,,SNAR-G1,RNF13,,,SLC13A5
HIST1H3A,,,SNAR-G2,RNF135,,,SLC15A1
HIST1H3G,,,SNCA,RNF14,,,SLC15A2
HIST1H4B,,,SNCG,RNF144A,,,SLC16A1-AS1
HIST2H2BB,,,SND1,RNF145,,,SLC16A14
HIST2H2BF,,,SNF8,RNF146,,,SLC16A7
HMMR,,,SNHG11,RNF148,,,SLC17A6
HMMR-AS1,,,SNHG14,RNF150,,,SLC17A9
HNF4A-AS1,,,SNHG16,RNF169,,,SLC18B1
HOOK1,,,SNHG17,RNF180,,,SLC1A1
HOOK3,,,SNHG19,RNF182,,,SLC20A1
HOTAIR,,,SNHG20,RNF183,,,SLC20A2
HOXA1,,,SNHG29,RNF185,,,SLC22A12
HOXA4,,,SNHG32,RNF212,,,SLC22A15
HOXA9,,,SNHG4,RNF213,,,SLC22A17
HOXC6,,,SNHG5,RNF216P1,,,SLC22A18
HOXD1,,,SNHG6,RNF219,,,SLC22A20P
HOXD10,,,SNN,RNF219-AS1,,,SLC22A31
HPCA,,,SNORA17A,RNF224,,,SLC24A1
HPS4,,,SNORA17B,RNF34,,,SLC24A3
HRH2,,,SNORA26,RNF38,,,SLC25A1
HRH4,,,SNORA27,RNF40,,,SLC25A10
HTATSF1,,,SNORA50C,RNF41,,,SLC25A11
HYPK,,,SNORA53,RNFT1,,,SLC25A13
ICE2,,,SNORA79,RNU1-3,,,SLC25A15
IFNA22P,,,SNORD104,RNU4-2,,,SLC25A19
IFNB1,,,SNORD108,RNVU1-17,,,SLC25A21
IFT140,,,SNORD116-18,ROBO2,,,SLC25A21-AS1
IFT88,,,SNORD116-26,ROBO3,,,SLC25A24
IGFL2,,,SNORD144,ROBO4,,,SLC25A3
IGIP,,,SNORD15A,ROCK1,,,SLC25A4
IGLL1,,,SNORD36A,ROCR,,,SLC26A2
IGSF5,,,SNORD45A,ROPN1L-AS1,,,SLC27A3
IK,,,SNRNP25,RORC,,,SLC27A5
IKZF4,,,SNRNP40,ROS1,,,SLC29A2
IL10RB-DT,,,SNRNP70,RP1L1,,,SLC2A1
IL12RB1,,,SNRPA,RPA1,,,SLC2A1-AS1
IL13RA1,,,SNRPB,RPEL1,,,SLC2A10
IL17A,,,SNRPD2,RPH3A,,,SLC2A12
IL17REL,,,SNRPF,RPIA,,,SLC2A4
IL1RAP,,,SNRPG,RPL13AP17,,,SLC2A6
IL1RL1,,,SNRPN,RPL23AP87,,,SLC30A9
IL1RL2,,,SNTB1,RPL26L1,,,SLC35A4
IL23A,,,SNTG1,RPL29P2,,,SLC35B4
IL2RG,,,SNURF,RPL36A,,,SLC35C2
IL33,,,SNX11,RPL3L,,,SLC35E2B
ILRUN,,,SNX17,RPP21,,,SLC35E3
IMPA1P1,,,SNX22,RPRD2,,,SLC35F1
INCENP,,,SNX33,RPRM,,,SLC36A4
ING3,,,SNX7,RPS10P7,,,SLC37A1
INO80D,,,SOCS1,RPS6KA2,,,SLC38A1
INPP5K,,,SOCS2-AS1,RPS6KA6,,,SLC38A10
INSM2,,,SOCS6,RPS6KC1,,,SLC38A2
INTS3,,,SOD1,RPS6KL1,,,SLC38A3
IPCEF1,,,SOGA1,RPTN,,,SLC38A4
IQCM,,,SOGA3,RPTOR,,,SLC38A5
IQGAP1,,,SORBS2,RPUSD4,,,SLC38A7
IQGAP2,,,SORBS3,RRM2B,,,SLC39A1
IQUB,,,SORD,RRN3,,,SLC39A13
IRAK4,,,SORD2P,RRN3P1,,,SLC39A8
ISL2,,,SORL1,RRN3P2,,,SLC43A1
ISM1,,,SOWAHC,RRN3P3,,,SLC44A1
ISM2,,,SOX10,RRNAD1,,,SLC46A1
ITCH,,,SOX11,RSPH6A,,,SLC4A10
ITGAV,,,SOX12,RTKN2,,,SLC4A3
ITPR3,,,SOX14,RTL10,,,SLC50A1
IWS1,,,SOX2,RTL9,,,SLC51A
JAK2,,,SOX2-OT,RTN1,,,SLC5A12
KANSL1L,,,SOX3,RTN4R,,,SLC5A7
KAT2A,,,SOX4,RTP1,,,SLC6A15
KAT6A,,,SOX8,RTRAF,,,SLC6A2
KBTBD8,,,SP140,RTTN,,,SLC6A7
KCNA2,,,SP140L,RUBCN,,,SLC7A1
KCNA7,,,SPACA6,RUFY4,,,SLC7A10
KCND2,,,SPACA6P-AS,RUNDC3A,,,SLC7A11
KCTD20,,,SPAG7,RUNDC3B,,,SLC7A14
KCTD21-AS1,,,SPARC,RUNX1-IT1,,,SLC7A3
KDM1A,,,SPARCL1,RUNX1T1,,,SLC7A5
KDM7A,,,SPART,RUNX3,,,SLC8A3
KIAA0319,,,SPATA12,RXRB,,,SLC9A3R2
KIAA0895,,,SPATA17-AS1,RXRG,,,SLC9A5
KIAA1107,,,SPATA18,RYR1,,,SLC9B2
KIAA1109,,,SPATA20,RYR2,,,SLCO1B1
KIAA1210,,,SPATA21,RYR3,,,SLCO5A1
KIDINS220,,,SPATA24,S100A7,,,SLFN12
KIF11,,,SPATC1L,S100PBP,,,SLFN13
KIF12,,,SPATS2L,SAA2,,,SLFN5
KIF1B,,,SPC24,SACM1L,,,SLIT2
KIF20B,,,SPC25,SACS-AS1,,,SLITRK3
KIF21B,,,SPCS1,SALL3,,,SLITRK4
KIF3B,,,SPDYE1,SALRNA2,,,SLITRK5
KIF5A,,,SPDYE3,SAMD12-AS1,,,SLTM
KIF5B,,,SPDYE6,SAMD14,,,SMA4
KIF5C,,,SPECC1L-ADORA2A,SAMD15,,,SMAP1
KIFAP3,,,SPEF2,SAMD4A,,,SMARCA1
KIRREL2,,,SPEG,SAMHD1,,,SMARCA4
KLF18,,,SPEGNB,SAMMSON,,,SMARCA5
KLHL6-AS1,,,SPG7,SAP130,,,SMARCAD1
KLHL7-DT,,,SPIB,SAP30,,,SMARCC1
KLHL9,,,SPIN2A,SARDH,,,SMARCD1
KLK12,,,SPIN2B,SASS6,,,SMARCE1
KLK15,,,SPINK1,SATL1,,,SMCHD1
KLK7,,,SPINT1-AS1,SAXO1,,,SMCO2
KLRF2,,,SPINT2,SAYSD1,,,SMCO4
KMT2D,,,SPNS1,SBF1,,,SMDT1
KMT2E,,,SPOUT1,SBF1P1,,,SMG9
KNCN,,,SPP1,SBK3,,,SMIM1
KNL1,,,SPRED1,SBNO2,,,SMIM10
KNOP1,,,SPRN,SCAF8,,,SMIM10L1
KPNA3,,,SPRR1B,SCAI,,,SMIM17
KRBA1,,,SPRR2F,SCAMP1,,,SMIM2-AS1
KRT14,,,SPRY1,SCAMP1-AS1,,,SMIM20
KRT17P1,,,SPRY4,SCAP,,,SMIM26
KRT20,,,SPRY4-AS1,SCARA5,,,SMIM3
KRT74,,,SPRY4-IT1,SCARNA21,,,SMIM30
KRT78,,,SPRYD4,SCARNA22,,,SMIM4
KRTAP10-5,,,SPSB4,SCARNA23,,,SMIM7
KRTAP10-6,,,SPTBN2,SCARNA4,,,SMN2
KRTAP11-1,,,SPTSSB,SCARNA8,,,SMN2.1
KRTAP2-3,,,SPX,SCARNA9,,,SMNDC1
LACTBL1,,,SQSTM1,SCART1,,,SMO
LAMP1,,,SRA1,SCAT8,,,SMOC2
LAX1,,,SRC,SCEL-AS1,,,SMPD2
LGR5,,,SRD5A1,SCGB1B2P,,,SMPD4
LHX1-DT,,,SRD5A3,SCGB3A1,,,SMPDL3B
LILRA4,,,SRGAP3-AS3,SCGN,,,SMTNL1
LILRB2,,,SRP54,SCHLAP1,,,SMTNL2
LIMK1,,,SRPX,SCIMP,,,SMU1
LIN9,,,SRRM3,SCIN,,,SMUG1
LINC00092,,,SRRM4,SCLT1,,,SMYD5
LINC00269,,,SRSF2,SCLY,,,SNAI2
LINC00271,,,SRSF3,SCMH1,,,SNAP25
LINC00276,,,SRSF6,SCML1,,,SNCA
LINC00301,,,SRSF7,SCML4,,,SNCG
LINC00309,,,SRSF9,SCN1A,,,SND1
LINC00310,,,SS18,SCN3B,,,SND1-IT1
LINC00378,,,SS18L2,SCN5A,,,SNHG14
LINC00407,,,SSB,SCN7A,,,SNHG16
LINC00442,,,SSBP1,SCN8A,,,SNHG20
LINC00446,,,SSBP4,SCNN1G,,,SNHG29
LINC00448,,,SSC4D,SCOC,,,SNHG4
LINC00467,,,SSH3,SCRIB,,,SNN
LINC00485,,,SSR2,SCRT2,,,SNORA11C
LINC00487,,,SSR3,SCUBE1,,,SNORA11F
LINC00504,,,SSRP1,SCYL2,,,SNORA12
LINC00507,,,SSTR2,SCYL3,,,SNORA18
LINC00518,,,SSU72,SDCBP2,,,SNORA21
LINC00558,,,ST13,SDCBP2-AS1,,,SNORA21B
LINC00635,,,ST20,SDCCAG8,,,SNORA56
LINC00676,,,ST20-AS1,SDE2,,,SNORA74D
LINC00681,,,ST3GAL3,SDHA,,,SNORA75
LINC00877,,,ST5,SDK1,,,SNORA80D
LINC00887,,,ST6GAL2,SDK2,,,SNORA87
LINC00919,,,ST6GALNAC4,SDR42E2,,,SNORA9B
LINC00923,,,ST6GALNAC5,SDS,,,SNORD116-26
LINC00957,,,ST6GALNAC6,SEC14L1,,,SNORD14A
LINC00968,,,ST7L,SEC14L5,,,SNORD16
LINC00987,,,ST8SIA2,SEC16A,,,SNORD20
LINC01007,,,ST8SIA3,SEC22A,,,SNORD33
LINC01031,,,ST8SIA6,SEC24A,,,SNORD35B
LINC01080,,,STAC,SEC24C,,,SNORD63B
LINC01088,,,STAM,SEC61B,,,SNORD65B
LINC01096,,,STAMBPL1,SECISBP2,,,SNORD70
LINC01102,,,STAP2,SECTM1,,,SNORD97
LINC01106,,,STAR,SEH1L,,,SNRNP200
LINC01111,,,STARD13,SEL1L2,,,SNRNP40
LINC01117,,,STARD3,SEMA3B-AS1,,,SNRNP70
LINC01213,,,STARD3NL,SEMA3D,,,SNRPA
LINC01216,,,STARD4,SEMA4B,,,SNRPA1
LINC01239,,,STARD8,SEMA5A,,,SNRPB
LINC01250,,,STAT1,SEMA6A-AS1,,,SNRPC
LINC01256,,,STAT2,SENP6,,,SNRPD1
LINC01266,,,STAT3,SENP8,,,SNRPD2
LINC01277,,,STAT5B,SEPT5-GP1BB,,,SNRPD3
LINC01287,,,STBD1,SEPT7-AS1,,,SNRPE
LINC01337,,,STC1,SERAC1,,,SNRPN
LINC01344,,,STC2,SERHL,,,SNTB1
LINC01354,,,STEAP1,SERINC2,,,SNTG2
LINC01436,,,STEAP1B,SERINC3,,,SNTN
LINC01447,,,STEAP2,SERINC5,,,SNURF
LINC01476,,,STIP1,SERP2,,,SNX1
LINC01482,,,STK11,SERPINA7,,,SNX10
LINC01507,,,STK11IP,SERPINB10,,,SNX17
LINC01508,,,STK16,SERPINB13,,,SNX22
LINC01522,,,STK17A,SERPINB8,,,SNX27
LINC01555,,,STK25,SERPINI2,,,SNX32
LINC01581,,,STK26,SERTM1,,,SNX33
LINC01583,,,STK32C,SESN1,,,SNX5
LINC01587,,,STMN1,SESN3,,,SNX7
LINC01594,,,STMN2,SESTD1,,,SOCS1
LINC01602,,,STMN3,SETD1B,,,SOCS2-AS1
LINC01615,,,STMP1,SETDB1,,,SOCS6
LINC01617,,,STN1,SETDB2-PHF11,,,SOD3
LINC01648,,,STOML2,SF3B1,,,SOGA1
LINC01748,,,STOX2,SFI1,,,SOGA3
LINC01750,,,STRADB,SFMBT1,,,SORBS2
LINC01767,,,STRAP,SFR1,,,SORBS3
LINC01778,,,STRIT1,SFTA3,,,SORD
LINC01787,,,STRN3,SFTPA2,,,SORD2P
LINC01821,,,STRN4,SGCZ,,,SORL1
LINC01873,,,STT3A,SGMS2,,,SOWAHC
LINC01875,,,STUB1,SGO1,,,SOX10
LINC01891,,,STX10,SGSH,,,SOX11
LINC01907,,,STX19,SH2B1,,,SOX12
LINC01910,,,STXBP1,SH2D4B,,,SOX14
LINC01947,,,STXBP4,SH2D6,,,SOX2
LINC01999,,,STYXL1,SH2D7,,,SOX2-OT
LINC02017,,,SUCLA2,SH3BGRL2,,,SOX21
LINC02026,,,SUCLG2,SH3BP5-AS1,,,SOX3
LINC02113,,,SUCLG2-AS1,SH3BP5L,,,SOX4
LINC02125,,,SUGT1,SHANK3,,,SOX8
LINC02189,,,SUGT1P1,SHC1,,,SP110
LINC02198,,,SULF1,SHC2,,,SP140
LINC02201,,,SULT1A2,SHE,,,SP140L
LINC02202,,,SULT1C2,SHISA8,,,SPACA6
LINC02228,,,SULT1C4,SHLD2P3,,,SPAG7
LINC02236,,,SULT2B1,SHLD3,,,SPARC
LINC02243,,,SUMF1,SHOC1,,,SPARCL1
LINC02251,,,SUMF2,SHOX2,,,SPART
LINC02282,,,SUMO1,SHROOM2,,,SPART-AS1
LINC02301,,,SUMO3,SIAH2,,,SPATA12
LINC02310,,,SUOX,SIAH3,,,SPATA13
LINC02329,,,SUPT16H,SIDT2,,,SPATA20
LINC02348,,,SURF1,SIK1,,,SPATA24
LINC02418,,,SURF4,SIK2,,,SPATA2L
LINC02420,,,SV2A,SIN3A,,,SPATA3-AS1
LINC02424,,,SVIL,SIPA1L1,,,SPATA31D3
LINC02441,,,SWI5,SIPA1L2,,,SPATA41
LINC02450,,,SYK,SIRPA,,,SPATA45
LINC02466,,,SYMPK,SIRPB1,,,SPATC1
LINC02474,,,SYNCRIP,SIRPG,,,SPATS2L
LINC02476,,,SYNDIG1,SIRPG-AS1,,,SPC24
LINC02493,,,SYNE4,SIVA1,,,SPCS3
LINC02528,,,SYNGR1,SIX1,,,SPDYA
LINC02533,,,SYNGR2,SIX3,,,SPECC1L
LINC02549,,,SYNPO2,SIX3-AS1,,,SPEF2
LINC02580,,,SYNPR,SKAP2,,,SPEG
LINC02609,,,SYNPR-AS1,SKI,,,SPIB
LINC02613,,,SYP,SKOR1,,,SPIDR
LINC02615,,,SYPL1,SKOR2,,,SPIN2A
LIPE,,,SYS1,SKP1P2,,,SPIN2B
LIPF,,,SYT3,SKP2,,,SPINK13
LMNB1,,,SYT4,SLA2,,,SPINT1-AS1
LMNTD1,,,SYT6,SLAIN1,,,SPN
LOC100128164,,,SYTL1,SLAIN2,,,SPOUT1
LOC100128340,,,TAC1,SLAMF8,,,SPP1
LOC100129291,,,TAC3,SLAMF9,,,SPPL2B
LOC100130238,,,TACO1,SLBP,,,SPRED1
LOC100130673,,,TADA3,SLC10A1,,,SPRED3
LOC100130698,,,TAF10,SLC10A3,,,SPRY1
LOC100131047,,,TAF15,SLC10A5,,,SPRY4
LOC100131289,,,TAF6,SLC10A7,,,SPRYD4
LOC100131626,,,TAGLN,SLC12A2,,,SPSB2
LOC100132215,,,TAGLN2,SLC12A5,,,SPTBN2
LOC100132249,,,TAGLN3,SLC12A6,,,SPTSSB
LOC100134868,,,TAL2,SLC12A7,,,SQSTM1
LOC100286922,,,TANGO6,SLC12A8,,,SRA1
LOC100288069,,,TAP1,SLC13A3,,,SRC
LOC100288203,,,TAPBP,SLC13A4,,,SRD5A3
LOC100288208,,,TAPBPL,SLC16A12,,,SREBF1
LOC100289230,,,TARBP2,SLC16A5,,,SRF
LOC100419170,,,TARP,SLC17A4,,,SRP19
LOC100499194,,,TARS,SLC17A8,,,SRP72
LOC100505588,,,TARS2,SLC18A2,,,SRPRB
LOC100505715,,,TAS2R30,SLC19A1,,,SRPX
LOC100506281,,,TATDN1,SLC19A2,,,SRPX2
LOC100506321,,,TATDN3,SLC1A5,,,SRRM1
LOC100506472,,,TAX1BP3,SLC22A23,,,SRRM3
LOC100506606,,,TAZ,SLC22A5,,,SRSF10
LOC100506688,,,TBC1D16,SLC22A7,,,SRSF3
LOC100506747,,,TBC1D17,SLC24A2,,,SRSF4
LOC100507205,,,TBC1D19,SLC24A5,,,SRSF7
LOC100507283,,,TBC1D4,SLC25A20,,,SRSF9
LOC100507389,,,TBC1D5,SLC25A22,,,SRXN1
LOC100507477,,,TBC1D8-AS1,SLC25A23,,,SRY
LOC100507599,,,TBC1D8B,SLC25A27,,,SS18
LOC100507634,,,TBC1D9B,SLC25A30,,,SS18L1
LOC100631378,,,TBCB,SLC25A34,,,SS18L2
LOC100996251,,,TBCE,SLC25A3P1,,,SSB
LOC101593348,,,TBCK,SLC25A40,,,SSBP1
LOC101926948,,,TBRG4,SLC25A42,,,SSBP4
LOC101927023,,,TBX22,SLC25A46,,,SSC4D
LOC101927157,,,TBXAS1,SLC25A5-AS1,,,SSH3
LOC101927278,,,TCEAL1,SLC25A51,,,SSPN
LOC101927314,,,TCEAL2,SLC25A52,,,SSR2
LOC101927322,,,TCEAL3,SLC26A1,,,SSR3
LOC101927402,,,TCEAL4,SLC26A4,,,SSRP1
LOC101927476,,,TCEAL5,SLC26A5,,,SST
LOC101927502,,,TCEAL7,SLC26A6,,,SSTR2
LOC101927661,,,TCEAL8,SLC26A7,,,SSTR4
LOC101927814,,,TCERG1L-AS1,SLC26A8,,,ST13
LOC101927907,,,TCF21,SLC27A6,,,ST13P4
LOC101927954,,,TCF25,SLC29A1,,,ST20-AS1
LOC101928107,,,TCF4,SLC29A3,,,ST6GAL2
LOC101928143,,,TCF7L1,SLC2A4RG,,,ST6GALNAC4
LOC101928303,,,TCIRG1,SLC2A8,,,ST7-OT3
LOC101928404,,,TCN1,SLC30A1,,,ST8SIA2
LOC101928438,,,TCN2,SLC30A10,,,ST8SIA3
LOC101928446,,,TCP1,SLC30A4,,,STAC3
LOC101928489,,,TCP11L1,SLC30A8,,,STAMBPL1
LOC101928495,,,TCTA,SLC31A2,,,STAP2
LOC101928551,,,TCTE1,SLC33A1,,,STARD4
LOC101928764,,,TCTN3,SLC34A1,,,STAT1
LOC101928881,,,TDGF1,SLC34A3,,,STAT2
LOC101928896,,,TDGF1P3,SLC35A1,,,STAT3
LOC101928911,,,TDP2,SLC35A3,,,STAT5A
LOC101929172,,,TDRKH,SLC35A5,,,STAT5B
LOC101929188,,,TEAD2,SLC35B1,,,STAT6
LOC101929224,,,TEAD4,SLC35C1,,,STBD1
LOC101929331,,,TECPR1,SLC35D1,,,STC1
LOC101929340,,,TEDC2,SLC35D3,,,STC2
LOC101929570,,,TENM3-AS1,SLC35F4,,,STEAP1
LOC101929572,,,TERF1,SLC35F5,,,STEAP1B
LOC101929705,,,TEX26-AS1,SLC35G1,,,STEAP2
LOC101929710,,,TEX261,SLC35G5,,,STEAP3
LOC101929767,,,TFB1M,SLC36A1,,,STIP1
LOC102467226,,,TFDP2,SLC36A2,,,STK11IP
LOC102723373,,,TFF2,SLC38A9,,,STK25
LOC102723534,,,TFF3,SLC39A10,,,STK26
LOC102723534.1,,,TFPI2,SLC39A12,,,STK3
LOC102723604,,,TGDS,SLC39A14,,,STK32A
LOC102723704,,,TGFB1I1,SLC41A2,,,STK32C
LOC102723824,,,TGFB2-OT1,SLC43A2,,,STK36
LOC102724009,,,TGFBI,SLC44A4,,,STK38L
LOC102724452,,,TGFBR3L,SLC44A5,,,STMN3
LOC102724708,,,TGIF1,SLC45A1,,,STMP1
LOC102724760,,,TGIF2,SLC45A3,,,STN1
LOC102724814,,,TGIF2-RAB5IF,SLC46A3,,,STON1
LOC103171574,,,TGM1,SLC49A4,,,STOX2
LOC105369212,,,THAP2,SLC4A1,,,STRAP
LOC105369431,,,THAP3,SLC4A11,,,STRIT1
LOC105369509,,,THAP7-AS1,SLC4A7,,,STRN
LOC105370401,,,THAP9-AS1,SLC52A1,,,STRN3
LOC105370526,,,THBS1,SLC5A11,,,STRN4
LOC105371907,,,THEM4,SLC5A3,,,STT3A-AS1
LOC105372028,,,THEMIS2,SLC5A4,,,STUB1
LOC105373352,,,THNSL2,SLC5A9,,,STX10
LOC105373562,,,THOC6,SLC6A1,,,STX18-AS1
